Shop Name,Product ID,Item Name,Price,Shipping Cost,Delivery Time,Return Policy,Stock Status,Avg. Rating,Promotions,Loyalty Program,Customer Support,Countries Served
Shop_1,Shop_1_P0001,Item_1,7266,153,5 days,14 days,Out of Stock,3.4,None,No,4.8/5,India
Shop_1,Shop_1_P0002,Item_2,24013,259,3 days,7 days,In Stock,4.8,10% off,No,3.3/5,India
Shop_1,Shop_1_P0003,Item_3,17378,261,4 days,7 days,In Stock,3.6,Free shipping,No,4.3/5,India
Shop_1,Shop_1_P0004,Item_4,34415,148,5 days,30 days,In Stock,4.6,Free shipping,Yes,4.8/5,India
Shop_1,Shop_1_P0005,Item_5,43636,388,2 days,14 days,In Stock,4.7,Free shipping,Yes,3.6/5,India
Shop_1,Shop_1_P0006,Item_6,13282,316,2 days,30 days,Out of Stock,3.2,10% off,No,4.8/5,India
Shop_1,Shop_1_P0007,Item_7,36745,346,7 days,30 days,In Stock,3.3,Free shipping,Yes,4.9/5,India
Shop_1,Shop_1_P0008,Item_8,26265,184,7 days,30 days,Out of Stock,4.4,10% off,Yes,4.9/5,India
Shop_1,Shop_1_P0009,Item_9,2661,453,7 days,30 days,In Stock,3.9,None,No,4.1/5,India
Shop_1,Shop_1_P0010,Item_10,40108,377,5 days,30 days,In Stock,4.5,Free shipping,No,4.1/5,India
Shop_1,Shop_1_P0011,Item_11,20817,220,6 days,30 days,Out of Stock,4.5,Free shipping,No,4.7/5,India
Shop_1,Shop_1_P0012,Item_12,36848,471,7 days,7 days,Out of Stock,4.1,Free shipping,Yes,3.6/5,India
Shop_1,Shop_1_P0013,Item_13,47748,643,5 days,30 days,Out of Stock,4.5,Free shipping,Yes,4.0/5,India
Shop_1,Shop_1_P0014,Item_14,48499,233,7 days,14 days,Out of Stock,4.2,Free shipping,No,3.0/5,India
Shop_1,Shop_1_P0015,Item_15,41489,131,6 days,30 days,Out of Stock,4.7,10% off,No,3.1/5,India
